Hotel,Date,Review Title,Review
Hudson Hotel,Nov 26 2009 ,Great Hotel!,"We stayed at the Hudson Hotel for 5 nights and after reading a lot of bad reviews was very pleased with the hotel. Rooms were very clean and although small, bigger than I was expecting. Perfect location within walking distance to Times Square and 5th Avenue. Had a great stay here and would definately reccommend it!!!"
Hudson Hotel,Nov 25 2009 ,Great Hotel in Great Location,"I just spent 3 days at the Hudson Hotel and highly recommend it! The room was clean, (a bit small) the bed was comfortable and the hotel is a great mix of trendy and urban chic. the lobby is fun and interesting, exposed brick and and ivy on the walls and ceiling. the front desk and concierge staff were polite and accomodating. the housekeeping staff, always smiled and said good morning. The gym was well appointed with good equipment and a friendly staff member. The location was excellent close to most subway lines, it was an easy trip to rockefeller center, central park, lincoln center, and the upper west side. An added plus was its proximity to the Time Warner center with great shopping, restaurants and of course a great Whole Foods-for an early morning juice!Great value compared to other NYC hotels I have previously stayed!I definitely recommend the hudson!I almost forgot, the Hudson Bar, a chic loungy kind of place to enjoy a drink."
Hudson Hotel,Nov 24 2009 ,tiny rooms - GREAT PRICES,"no sign outside = difficult to find: we walked by three times without finding the entranceenormous lobby with nearly no light and hectic music foregroundtiny room: - nearly could not get up and down from the toilet and turn around in bathroom- impossible to be in two people without continuosly stepping out of the way- banging doors - loud neighbourhood in the night--- in case you want a room with little more space you pay much more: I paid plus $68.86 for 25% more room for one night, what edded up to $244.81 (weekend low)"
Hudson Hotel,Nov 22 2009 ,Beautiful lobby tiny room,"The hotel was unmarked from the front, but inside had an absolutely goregous lobby and entrance area. Bellman and front desk staff were very helpful. Room was trendy and clean but exceptionally TINY. Even bathtub and toilet were minature. Hallways were very dark which I didnt love. We only stayed one night but had no issues with room being loud, etc. I would return, but for the price would probably pick a hotel with a little more space."
Hudson Hotel,Nov 22 2009 ,Totally sleepless night!,"I took my husband to NYC for his birthday for a 1-night getaway. We got a good promotional price for our room, which is the only reason we would have chosen this hotel because we knew up front that the room were quite small for a pretty big pricetag. It is, however, a nice place with some funky characteristics and the room size was not a major issue as we didn't plan to spend a lot of time there. The only size-related problem was that the bathroom was so small that my husband (who is 6' 4&quot;) could barely use the toilet! Anyway, that would have been fine, and the hotel's location is great. The major problem is that we were put in a 10th floor room overlooking 57th St. and subsequently did not sleep AT ALL the entire night. Despite being 10 floors up, the room was so poorly sound-proofed that we could hear every car go by, and ceaseless amounts of car horns beeping all night long. Add in the occasional ambulance or police siren and some groups of people yelling at eachother at all hours, and it was a sleepless night that really put a huge damper on our NYC experience. If you do choose to stay here, absolutely insist on an atrium-facing room or one higher up, and/or check it out first to see how the noise level seems BEFORE you attempt to go to sleep! Very disappointing."
Hudson Hotel,Nov 20 2009 ,Trendy!,"I stayed here this week while visiting my fiancee while he was on business. The location of the Hudson hotel is super convenient to Columbus Circle, Central Park and Time Square. This hotel is super trendy and modern. It was quite a refreshing change from the typical Holiday Inn. The hotel is not marked from the outside so it can be difficult to find. The valet service is superb. Upon entering the hotel, there is a long neon green escalator to the impressive lobby-all exposed brick and glass covered with ivy. The hotel has quite an exclusive bar which can be accessed with your hotel privilege card you receive upon check in. I hear that without the card, it's tough to get in unless you are dressed well. This week the Victoria Secret models were staying there while in town for a fashion show. Needless to say...the bar was quite busy. I myself skipped it as:a. I'm not a big drinkerb. I DO NOT look like a vickys modelc. I am intimidatedThe floors of the hotel are dark and drab communist block gray. I found it very stylish and enjoyed the decor. The rooms are small...yes its true!!! But people: this is NYC!!!!!! You are paying for space!!! I felt the room size was completely appropriate and we were staying in a standard room built for 1 person (my fault since I surprised my honey with the visit..he was not expecting me). The inside of the rooms are wood paneled. The bed is modern and comparable to any European hotel. I enjoyed this. I hate American hotel bedding and when Americans complain I think they are ridiculous (and I am an American!). I absolutely loved the glass wall separating the room from the shower. It allows for a fun peep show! Also the lights in the room are fantastic. It was fun figuring out the many ways to turn them all on. The road noise from outside is awful. Trucks were honking and there was constant noise all night. Also, the walls are paper thin. The only way to properly close the doors is to slam them...therefore loud slamming doors all night. Also, the light from the hallway is very bright in the room. Overall, a fun experience in a cool hotel but did not allow for a super restful night's sleep."
Hudson Hotel,Nov 19 2009 ,I've stayed in nicer hostels,"This was the worst hotel experience I have ever had. Would definitely not recommend for business travel. I would only recommend to people who want to spend as little time as possible in the actual room and who are there to party. The hotel is all lobby and bar, every floor smells like the pool (I don't think there even is one in the hotel). The light from the hallway shines in through the cracks in the door, there is no top sheet on the bed, there is no mini bar, the TV is mounted on a mirror, and there was a window from the shower to the room. The worst part was when the front desk corrupted all of the files on my USB drive."
Hudson Hotel,Nov 16 2009 ,Do not stay here!,"This hotel has a lovely lobby and an excellent location. The decor is nice and the Library Bar and Hudson Bar are both very welcoming. However, I was there for three nights and they put me in three rooms trying to find one that had a livable temperature. The first room started out at 60 degrees and then they fixed it. After that it was 86 degrees and would not get cooler. The heating/cooling unit blew hot air no matter what the thermostat was set to. The next room had a heating/cooling unit that would not work. If you turned it on the thing would make loud clanking noises all night. We left it off and they moved us to a new room the next day. That room was 74-78 degrees with the heat off. If you tried to turn the AC on, the air was luke warm and did nothing to cool the room. Also, this room was on the top floor and much larger. However, the water in the bathroom was rust colored each time you turned it on. It was a shame because the location was terrific and I really liked what they were going for in the space. You can find something more reliable if you look and, in the end, the concept was not worth the unreliable service and lack of comfort."
Hudson Hotel,Nov 15 2009 ,Tiny cramped needs renovation,"This hotel was, I'm sure, designed to be hip and chic. Maybe it once was. Now however, it is bordering on shabby and feels tired and worn out. The rooms are like postage stamps. I'm 6'2&quot; and my hands hit the ceiling as I changed my shirt. There was a low platform double bed with a foot or two around the bed and that constituted the size of the room. There were water stains on the ceiling, no toilet paper and the window that was supposed to open was not operating. The elevators are tiny, have a long wait and check out constitutes a half hour wait for one. I recommend avoiding this hotel if there are any other viable options."
Hudson Hotel,Nov 15 2009 ,Bring A Torch!,v trendy and v dark! met lots of fellow brits groping their way round the walls. particularly amused to be in the library - too dark to read! good location near the columbus circle so from that point of view it works but wouldn't rush back.
